Season;Data;Phase;Night;Channel;Time;Event_V;Quantity;Toys
Jablow_1;17.05.2012;A;1;Ch1;21:00:08;a.l.a.;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:10:29;a.un.;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:18:36;a.t.n.;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:20:11;w;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:20:16;l;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:20:40;v.l.a.t.d;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:33:40;a.n;1;0
Jablow_1;17.05.2012;A;1;Ch1;21:51:05;v;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:00:04;v.t.a.t.v.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:07:07;v.t.n.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:12:19;v;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:12:23;a.v.n./n.a.t.p.a.n.;2;0
Jablow_1;17.05.2012;A;1;KAM2;21:13:22;d.a.l.a.t.n;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:14:51;d.a.ut.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:15:27;a;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:15:35;a.l.a./p.a.l.a.;2;0
Jablow_1;17.05.2012;A;1;KAM2;21:16:46;v;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:16:52;v.ut.a.t.a.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:19:23;a.l.c.t.n.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:27:12;a.t.n.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:28:09;a;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:28:12;c.uv.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:29:05;a.n.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:29:24;d.v.r.a.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:29:51;un.a.t.a.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:33:37;a;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:34:57;ud.a.l.a.ud.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:35:44;d.t.a.v.;1;0
Jablow_1;17.05.2012;A;1;KAM2;21:43:27;a.n.;1;0
Jablow_1;18.05.2012;A;1;Ch1;03:07:45;a.n.;1;0
Jablow_1;18.05.2012;A;1;Ch1;03:09:23;a.d. ;1;0
Jablow_1;18.05.2012;A;1;Ch1;03:09:47;a.c.;1;0
Jablow_1;18.05.2012;A;1;Ch1;03:09:53;a.n./p.a.n.;2;0
Jablow_1;18.05.2012;A;1;Ch1;03:26:10;a.l.a.;1;0
Jablow_1;18.05.2012;A;1;Ch1;03:52:54;a.n.;1;0
Jablow_1;18.05.2012;A;1;Ch1;03:58:13;a.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:07:41;n.l.a.ut.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:09:18;a.un.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:09:21;d.a.v.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:09:50;a.l.a./p.a.l.a.;2;0
Jablow_1;18.05.2012;A;1;KAM2;03:18:19;a.c.v.t.a.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:26:07;d.a.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:26:13;a.t.a.t.v.r.v.ut.a.v.r.un.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:50:42;a.t.v.d.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:51:50;a.t.a.r.o.a.l.c.t.r.un.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:52:33;ud.a.l.a.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:52:39;d.t.r.v.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:52:50;d.a.t.c.a.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:55:08;w;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:55:10;d.a.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:57:34;a.t.c.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:57:37;w;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:57:58;d.t.a.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:58:03;a.t.v.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:58:06;d.c.r.a.n.;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:58:10;d.a.t.a;1;0
Jablow_1;18.05.2012;A;1;KAM2;03:59:32;d.t.;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:18:45;a.n;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:19:47;a;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:19:50;d;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:19:53;a;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:24:52;a;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:26:31;a;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:29:30;n.t;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:29:33;a.n;1;0
Jablow_1;18.05.2012;A;2;Ch1;21:35:56;d.a.l.d;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:04:58;d.a.ut;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:04:59;a.n;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:08:40;d.a.t.l.n;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:10:40;d.t.n.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:11:43;d.a.t.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:17:59;d.t.ut;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:18:05;a.l.a.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:18:42;a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:05;a.l.ur.n;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:13;d.t.u.l.u.l;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:23;l;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:27;a.l.a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:28;a.v.l.n/a.l.a;2;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:28;a.l.a/v.c.v.l.a.n/ua.l.v.;3;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:34;d.t.a/p.d.a.t;2;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:37;uv.p.c.v/p.c.l.a.ul.a.p.a/l.p.a;2;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:43;v.d./c.t.n/t.c.t.a;3;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:54;t.n;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:19:57;un.t.a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:22:17;d.a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:22:21;a.l.a.ut;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:22:55;d.a.l.a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:23:13;d.a.l.ua.uv.l.v.l.a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:24:50;v.c.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:26:27;d.a.t.c.ul.uv.t.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:26:37;d.v.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:26:41;a.l.a;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:26:47;d.a.o.ut.ua;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:36:19;c.t.n;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:38:49;d.a.t.;1;0
Jablow_1;18.05.2012;A;2;KAM2;21:38:52;w;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:14:43;a.t.d.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:21:24;a.n.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:21:48;d.t.d.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:34:46;d.a.t.d.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:35:37;a.n./p.a.n.;2;0
Jablow_1;19.05.2012;A;2;Ch1;03:39:28;d.a.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:40:19;f;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:40:41;a.n./p.a.t.a.d./d.a./a.n./a.d./p.a.d./p.a.d.;6;0
Jablow_1;19.05.2012;A;2;Ch1;03:40:50;c.d.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:43:06;n.t.a.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:46:38;a.t.d.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:52:14;f;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:54:21;a.n.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:54:44;a.n.;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:55:03;a.n./p.a.n.;2;0
Jablow_1;19.05.2012;A;2;Ch1;03:55:15;a/p.a.;2;0
Jablow_1;19.05.2012;A;2;Ch1;03:56:07;v;1;0
Jablow_1;19.05.2012;A;2;Ch1;03:56:17;a.n./p.a.n.;2;0
Jablow_1;19.05.2012;A;2;KAM2;03:21:21;l;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:23:26;d.c.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:23:29;w;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:23:31;d.a.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:23:33;uo.v.un.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:30:15;v;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:35:33;a.l.a./n.p.a.l.a.;2;0
Jablow_1;19.05.2012;A;2;KAM2;03:39:30;a.t.d.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:39:32;t.d.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:39:46;a.l.a.t.r.v.o.l.a.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:40:34;a.t.o.g.d.a./p.a.n./a.l.a./a.p.l.a.;4;0
Jablow_1;19.05.2012;A;2;KAM2;03:43:07;a.t.n.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:46:34;c.l.a.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:54:16;a.t.a.l.a.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:54:40;c.ul.c.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:54:58;a.n.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:55:01;d.a.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:55:12;n.c.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:56:12;c.v.l.c.;1;0
Jablow_1;19.05.2012;A;2;KAM2;03:58:18;d.ul.uo.a.l.a.;1;0
Jablow_1;19.05.2012;A;3;Ch1;21:03:49;a.n.;1;0
Jablow_1;19.05.2012;A;3;Ch1;21:22:35;a.n.;1;0
Jablow_1;19.05.2012;A;3;Ch1;21:37:40;un.v.l.a.n.;1;0
Jablow_1;19.05.2012;A;3;Ch1;21:46:40;a.t.n.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:03:46;v;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:06:32;d.l.v.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:08:37;e;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:12:19;d.t.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:13:53;a.n.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:16:23;d.t.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:22:10;ud.a.l.a.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:22:17;d.t.a.l.v.n.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:22:29;n.l.d.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:22:33;a;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:26:29;d.l.t.ud.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:37:28;d.a.t.v.;1;0
Jablow_1;19.05.2012;A;3;KAM2;21:46:37;d.v.c.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:06:23;a.t.d.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:07:09;n.v.l.g.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:07:56;a.t.d.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:08:01;n.a.t.a.n.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:08:06;a.l.a.n.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:08:17;d.c.d.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:08:53;h;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:09:47;n.t.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:10:08;w;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:13:00;a.g.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:13:23;v.g.v.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:17:49;a.t.d.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:28:52;a.n.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:37:27;a.n./p.a.n.;2;0
Jablow_1;20.05.2012;A;3;Ch1;03:56:12;n.v.g.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:56:22;v.g.;1;0
Jablow_1;20.05.2012;A;3;Ch1;03:56:58;v.r.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:10:21;d.l.r.i.v.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:10:33;v.n.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:10:37;d.t.a.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:11:32;v.t.v.l.n.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:13:29;c.t.ua.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:21:41;a.t.a.t.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:28:49;a.l.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:37:43;d.l.c./p.d.l.c.;2;0
Jablow_1;20.05.2012;A;3;KAM2;03:45:33;v.n.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:47:48;d.v.g.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:57:02;a.un.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:57:03;d.a.;1;0
Jablow_1;20.05.2012;A;3;KAM2;03:57:13;v.n.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:28:12;d.p./d.;2;0
Jablow_1;20.05.2012;B;4;Ch1;21:28:14;n.p./n;2;0
Jablow_1;20.05.2012;B;4;Ch1;21:28:21;a.n.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:28:57;a;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:11;a.n.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:27;a;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:30;a.t.d.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:41;a.n.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:48;d.ua.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:54;d;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:41:59;d.v.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:42:19;d.ua.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:42:25;a.n.;1;0
Jablow_1;20.05.2012;B;4;Ch1;21:47:56;a.n.;1;0
Jablow_1;20.05.2012;B;4;KAM2;21:11:39;d.a.n.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:11:42;d.t.a.l.uv.ut.a.n;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:21:36;c.t.ua;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:21:41;d;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:22:01;a.l.t.a.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:22:33;d.a.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:22:40;a.t.c.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:23:52;a.n.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:27:39;ud.t.n;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:28:20;d.v.t.a.v.n;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:28:24;d.t.o.n.i.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:28:29;d.l.ua;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:28:58;v.l.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:29:00;c;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:29:03;v;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:29:07;a;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:36:44;d.l.l.ud.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:41:15;f;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:41:21;h;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:41:23;ua.t.l.a.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:41:36;h;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:41:37;n.l.v.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:42:02;d.a.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:42:04;a.l.d.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:42:08;t.a.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:42:20;a.l.a.t.;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:47:53;a.ul.a.t;1;1
Jablow_1;20.05.2012;B;4;KAM2;21:55:44;a.n.;1;1
Jablow_1;21.05.2012;B;4;Ch1;03:22:49;a.l.a.t.d.;1;0
Jablow_1;21.05.2012;B;4;Ch1;03:23:17;a.n.;1;0
Jablow_1;21.05.2012;B;4;Ch1;03:23:24;d.a.ut.a.t.a.;1;0
Jablow_1;21.05.2012;B;4;Ch1;03:23:30;d.a.;1;0
Jablow_1;21.05.2012;B;4;Ch1;03:33:02;d.a.;1;0
Jablow_1;21.05.2012;B;4;Ch1;03:33:18;a.n.;1;0
Jablow_1;21.05.2012;B;4;Ch1;03:42:56;a.n.;1;0
Jablow_1;21.05.2012;B;4;KAM2;03:23:01;n.t.a.;1;1
Jablow_1;21.05.2012;B;4;KAM2;03:23:13;a.l.a.;1;1
Jablow_1;21.05.2012;B;4;KAM2;03:33:13;a.ul.a.;1;1
Jablow_1;21.05.2012;B;4;KAM2;03:42:53;v;1;1
Jablow_1;21.05.2012;B;5;Ch1;21:11:00;a.t.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:11:09;n.t.n.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:14:55;a.t.d.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:15:26;l;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:15:35;a.n.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:41:43;a.n.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:44:19;a.n.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:44:25;d.a.;1;0
Jablow_1;21.05.2012;B;5;Ch1;21:44:35;a.n.;1;0
Jablow_1;21.05.2012;B;5;KAM2;21:13:06;v.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:13:08;d.a.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:13:10;d.ua.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:14:37;n;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:15:20;v.l.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:15:24;d.a.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:15:29;a.t.ul.v;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:18:35;a.v.l.v.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:18:41;d.uo.t.v.r.i.v.r.i.t.v.l.r.i.v.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:19:46;d.t.v.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:21:25;d.v.l.v.l.v.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:24:47;a.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:24:51;a.v.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:41:37;a.o.t.n.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:41:41;d.a.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:44:10;d.t.a.l.a.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:44:16;t.a.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:44:26;a.uo.;1;1
Jablow_1;21.05.2012;B;5;KAM2;21:44:32;a;1;1
Jablow_1;22.05.2012;B;5;Ch1;03:33:29;d.a.;1;0
Jablow_1;22.05.2012;B;5;Ch1;03:33:43;a.n.;1;0
Jablow_1;22.05.2012;B;5;KAM2;03:33:22;ua.l.a.l.c.;1;1
Jablow_1;22.05.2012;B;5;KAM2;03:33:33;d.t.;1;1
Jablow_1;22.05.2012;B;5;KAM2;03:33:35;a.t.n.;1;1
Jablow_1;22.05.2012;B;5;KAM2;03:33:37;d.c.;1;1
Jablow_1;22.05.2012;B;5;KAM2;03:33:40;a;1;1
Jablow_1;22.05.2012;B;5;KAM2;03:34:10;d.t.ua.;1;1
Jablow_1;22.05.2012;C;6;Ch1;21:16:13;d.a.;1;0
Jablow_1;22.05.2012;C;6;Ch1;21:16:32;d.v.n.;1;0
Jablow_1;22.05.2012;C;6;Ch1;21:17:18;a;1;0
Jablow_1;22.05.2012;C;6;Ch1;21:18:22;a.n.;1;0
Jablow_1;22.05.2012;C;6;Ch1;21:19:12;a.n.;1;0
Jablow_1;22.05.2012;C;6;Ch1;21:45:32;v;1;0
Jablow_1;22.05.2012;C;6;KAM2;21:09:38;d.a.t.v.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:09:40;v.t.a.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:09:57;n.a.t.a.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:10:02;a.t.r.i.l.a.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:15:31;ud.t.a.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:16:27;n.t.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:16:59;n.t.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:17:00;v.t.v.l.o.v.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:17:19;a.ut.ul.a.l.a.ud.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:18:20;v;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:18:37;d.v.k.v.ul.a.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:18:45;uv.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:19:10;a;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:23:01;ud.v.t.a.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:23:09;a.n.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:44:25;a.t.n.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:45:00;a.n.;1;1
Jablow_1;22.05.2012;C;6;KAM2;21:45:02;d.a.n.;1;1
Jablow_1;23.05.2012;C;6;Ch1;03:27:08;a.n.;1;0
Jablow_1;23.05.2012;C;6;Ch1;03:27:20;d.a.;1;0
Jablow_1;23.05.2012;C;6;Ch1;03:28:35;h;1;0
Jablow_1;23.05.2012;C;6;Ch1;03:30:58;a.n.;1;0
Jablow_1;23.05.2012;C;6;Ch1;03:31:00;n.v.n.;1;0
Jablow_1;23.05.2012;C;6;Ch1;03:45:07;d.a.t.d.;1;0
Jablow_1;23.05.2012;C;6;Ch1;03:45:38;n.o.v.;1;0
Jablow_1;23.05.2012;C;6;KAM2;03:27:05;v;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:27:22;a.l.v.t.d.;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:27:57;a.t.a.;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:28:00;a.d.;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:28:00;n.a.t.v.;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:39:23;a.o.c.;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:39:29;a;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:39:32;a.t.a.d.;1;1
Jablow_1;23.05.2012;C;6;KAM2;03:45:46;d.a.o.r.i.a.r.i.o.v.g.;1;1
Jablow_1;23.05.2012;C;7;Ch1;21:15:10;a.t.v.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:15:12;d.a.t.a.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:16:05;v;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:16:29;d.t.a.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:29:00;a.n.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:29:27;a.l.d.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:29:55;a.n.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:42:30;a.n.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:50:51;a.n.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:51:03;d.t.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:51:10;c.d.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:51:21;n.a.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:51:53;n.t.a.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:54:41;a;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:54:48;a.d.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:55:10;a.n./p.a.n.;2;0
Jablow_1;23.05.2012;C;7;Ch1;21:57:41;a.n.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:58:16;d.a.;1;0
Jablow_1;23.05.2012;C;7;Ch1;21:58:23;a./p.a.;2;0
Jablow_1;23.05.2012;C;7;Ch1;21:58:29;w;1;0
Jablow_1;23.05.2012;C;7;KAM2;21:14:38;d.a.n.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:01;d.l.o.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:07;n.v.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:14;v.t.o.v.n;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:25;v;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:27;v.l.v.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:32;a.l.a.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:37;un.l.ud.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:41;n.a.t.n.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:49;d.v.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:15:51;a.l.d.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:16:08;c;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:16:12;a.n.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:16:24;a.ud.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:16:30;a.n.;1;1
Jablow_1;23.05.2012;C;7;KAM2;21:18:50;a.l.ua.ul.uv.ud.;1;1
